decoded_course_name,decoded_univer_name,encoded_univer_name,encoded_course_name
Введение в историю искусства,ВШЭ,hse,ART
Демография,ВШЭ,hse,DEMO
Защита информации,ВШЭ,hse,DATPRO
История и теория медиа,ВШЭ,hse,MEDIA
Культурология,ВШЭ,hse,CULT
Общая социология,ВШЭ,hse,GSOC
Организационное поведение,ВШЭ,hse,ORGBH
Психология,ВШЭ,hse,PSYHO
Психология коммуникации,ВШЭ,hse,PSYCOM
Психология межгрупповых отношений,ВШЭ,hse,PSYGROUP
Социальная психология,ВШЭ,hse,SOCPSY
Сравнительная политика,ВШЭ,hse,COMPOL
Теория игр,ВШЭ,hse,TIGR
Маркетинг,ВШЭ,hse,MARK
Финансовая экономика,ВШЭ,hse,FINEC
Финансовые рынки и институты,ВШЭ,hse,FINMI
Эконометрика,ВШЭ,hse,METRIX
Экономика,ВШЭ,hse,ECONOM
Экономика общественного сектора,ВШЭ,hse,PUBEC
Экономическая социология,ВШЭ,hse,ECSOC
Инновационная экономика и технологическое предпринимательство,ИТМО,ITMOUniversity,INNOEC
Программирование и разработка веб-приложений,ИТМО,ITMOUniversity,PWADEV
Трехмерное моделирование,ИТМО,ITMOUniversity,3DMOD
Управление мехатронными и робототехническими системами,ИТМО,ITMOUniversity,ROBCTR
Высшая математика Аналитическая геометрия,МГУ,msu,ANGEOM
Земля – планета океанов,МГУ,msu,OCEAN
Простые молекулы в нашей жизни,МГУ,msu,SIMMOL
Современные экологические проблемы и устойчивое развитие,МГУ,msu,ECOPRB
Суперкомпьютеры и параллельная обработка данных,МГУ,msu,PARPROG
Управление сотрудниками в инновационной  экономике,МГУ,msu,MANEMP
Язык, культура и межкультурная коммуникация,МГУ,msu,LANG
Неравновесная термодинамика (термодинамика неравновесных состояний) ,МИСиС,misis,N_CHTHER
Безопасность жизнедеятельности,МИСиС,misis,SAFETY
Гидрогеолгия,МИСиС,misis,GRG
История и философия науки и техники,МИСиС,misis,MISIS_26
Менеджмент качества при создании инновационных продуктов,МИСиС,misis,MOC
Персональная эффективность: тайм менеджмент,МИСиС,misis,TMNG
Управление проектами в современной компании,МИСиС,misis,PROJECT
Современные образовательные технологии  новые медиа в классе,МИСиС,misis,INFCOM
Веб-графы и методы работы с ними,МФТИ,mipt,WEBGRAPH
Высшая математика Линейная алгебра,МФТИ,mipt,HIGHMATH2
Высшая математика. Матанализ,МФТИ,mipt,MATAN
Случайные графы,МФТИ,mipt,GRAPHS1
Теория игр,МФТИ,mipt,GAMETH
Академическое русское письмо,СПбГУ,spbu,ACADRU
Безопасность жизнедеятельности,СПбГУ,spbu,BZDH
Язык современной публицистики,СПбГУ,spbu,MEDIAL
Инженерная и компьютерная графика,СПбПУ,spbstu,COMPGR
Логистика,СПбПУ,spbstu,LOGIST
Математическая логика,СПбПУ,spbstu,MATLOG
Менеджмент,СПбПУ,spbstu,MANAG
Наука о данных и аналитика больших объемов данных,СПбПУ,spbstu,BIGDATA
Современная промышленная электроника,СПбПУ,spbstu,MODIEL
Безопасность жизнедеятельности,ТГУ,tgu,HTS
Социальные медиа,ТГУ,tgu,SMEDIA
Социальные медиа,ТГУ,tgu,SMEDIA
Социокультурные аспекты социальной робототехники,ТГУ,tgu,SROBOT
Статистика для гуманитариев,ТГУ,tgu,Stat
Аккумуляторы, топливные элементы и их роль в современном обществе,УРФУ,urfu,CHEMSO
Инженерная механика,УРФУ,urfu,ENGM
Информационные сервисы в управлении инженерной деятельностью,УРФУ,urfu,INFENG
Начертательная геометрия и инженерная графика,УРФУ,urfu,GEOM
Основы педагогической деятельности,УРФУ,urfu,EDUBASE
Практики системной инженерии,УРФУ,urfu,SYSTENG
Программирование на C#,УРФУ,urfu,CSHARP
Самоменеджмент,УРФУ,urfu,SMNGM
Теория решения изобретательских задач,УРФУ,urfu,TRIZ
Теплотехника (Процессы и аппараты химической технологии),УРФУ,urfu,TEPL
Философия и история науки и техники,УРФУ,urfu,PHILS
Философия и методология науки,УРФУ,urfu,PHILSCI
